n_filters,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
256,Qingdao(10kTEU),"[[ 644.87030029]
 [ 756.76983643]
 [ 890.53149414]
 [1059.29187012]
 [1141.56237793]
 [1135.80932617]
 [1303.80236816]
 [1400.45617676]
 [1542.65600586]
 [1640.17236328]
 [1741.81201172]
 [1827.15100098]]","[[ 630.7]
 [ 770.2]
 [ 946.2]
 [1032. ]
 [1026. ]
 [1201.2]
 [1302. ]
 [1450.3]
 [1552. ]
 [1658. ]
 [1747. ]
 [1801. ]]",3.018926311903391,46.060810365164386,"[[1878.92980957]
 [1906.73693848]
 [1902.90136719]
 [2169.06689453]]","[[1830.]
 [1826.]
 [2101.]
 [2200.]]",4.482526938314908,110.80670651553294
256,Dubai(10kTEU),"[[ 741.76422119]
 [ 946.60290527]
 [ 975.03717041]
 [1149.75830078]
 [1246.65917969]
 [1178.66015625]
 [1225.42700195]
 [1356.37414551]
 [1381.62805176]
 [1416.32922363]
 [1566.73144531]
 [1599.56176758]]","[[ 861.9]
 [ 892.3]
 [1079.1]
 [1182.7]
 [1110. ]
 [1160. ]
 [1300. ]
 [1327. ]
 [1364.1]
 [1524.9]
 [1560. ]
 [1573. ]]",5.404011744328843,75.04955592760184,"[[1611.72106934]
 [1578.0489502 ]
 [1538.76489258]
 [1460.1965332 ]]","[[1537.]
 [1495.]
 [1411.]
 [1350.]]",6.908556445128028,101.17745553819873
256,Tianjin(10kTEU),"[[ 517.36999512]
 [ 607.83630371]
 [ 713.3651123 ]
 [ 917.80981445]
 [ 947.56726074]
 [ 965.93615723]
 [1092.68078613]
 [1230.44689941]
 [1296.57458496]
 [1361.78381348]
 [1458.31188965]
 [1462.81225586]]","[[ 480.1]
 [ 595. ]
 [ 817.6]
 [ 850. ]
 [ 870. ]
 [1008. ]
 [1158. ]
 [1230. ]
 [1301. ]
 [1406.1]
 [1411. ]
 [1449. ]]",4.767567217421187,52.82238651487622,"[[1497.71289062]
 [1550.98254395]
 [1636.39746094]
 [1755.79455566]]","[[1507.]
 [1600.]
 [1730.]
 [1835.]]",3.3516950264019783,66.18893247744778
256,Rotterdam(10kTEU),"[[ 855.98132324]
 [ 958.21350098]
 [ 994.21783447]
 [1019.06585693]
 [1110.34460449]
 [1003.14282227]
 [1145.33459473]
 [1219.4732666 ]
 [1218.35754395]
 [1193.61096191]
 [1262.27282715]
 [1255.3762207 ]]","[[ 930. ]
 [ 965.5]
 [ 990. ]
 [1080. ]
 [ 974.3]
 [1114.5]
 [1187.6]
 [1186.5]
 [1162.1]
 [1229.8]
 [1223. ]
 [1238. ]]",4.789429741859613,64.1376251119923,"[[1270.58947754]
 [1407.50744629]
 [1486.61560059]
 [1518.05566406]]","[[1373.]
 [1451.]
 [1482.]
 [1435.]]",4.138900438298601,69.46053635096105
256,Kelang(10kTEU),"[[ 568.1574707 ]
 [ 600.12231445]
 [ 683.44390869]
 [ 788.50164795]
 [ 858.61114502]
 [ 788.18200684]
 [ 954.50561523]
 [1032.60632324]
 [1074.90637207]
 [1112.19873047]
 [1175.70214844]
 [1276.28479004]]","[[ 554.4]
 [ 632.6]
 [ 731.2]
 [ 797. ]
 [ 730.9]
 [ 887. ]
 [ 960.3]
 [1000. ]
 [1035. ]
 [1094.6]
 [1189. ]
 [1320. ]]",4.798706853265691,53.819838452527925,"[[1415.86450195]
 [1472.33569336]
 [1322.10095215]
 [1456.35339355]]","[[1373.]
 [1232.]
 [1358.]
 [1324.]]",8.817432488843814,140.00426194612055
256,Kaohsiung(10kTEU),"[[ 976.55877686]
 [ 952.28240967]
 [ 982.65283203]
 [ 925.20874023]
 [ 972.86236572]
 [ 863.36901855]
 [ 923.31060791]
 [ 968.76629639]
 [ 983.25219727]
 [ 998.93688965]
 [1064.37329102]
 [1031.10571289]]","[[ 947.1]
 [ 977.5]
 [ 920. ]
 [ 967.7]
 [ 858.1]
 [ 918.1]
 [ 963.6]
 [ 978.1]
 [ 993.8]
 [1059.3]
 [1026. ]
 [1046. ]]",4.440481685416702,50.46465384638245,"[[1051.08618164]
 [1032.10461426]
 [1050.0871582 ]
 [1047.09008789]]","[[1027.]
 [1045.]
 [1042.]
 [ 962.]]",3.300136427412913,44.866915161680254
256,Dalian(10kTEU),"[[ 291.36581421]
 [ 344.32400513]
 [ 410.19876099]
 [ 541.79260254]
 [ 529.059021  ]
 [ 533.54785156]
 [ 596.75756836]
 [ 702.84002686]
 [ 854.90966797]
 [1024.56835938]
 [1033.63757324]
 [ 982.24530029]]","[[ 265.1]
 [ 321.2]
 [ 464.2]
 [ 450.3]
 [ 455.2]
 [ 524.2]
 [ 640. ]
 [ 806. ]
 [ 991.2]
 [1001.1]
 [ 945. ]
 [ 961. ]]",9.525638585724732,69.52210001144145,"[[ 996.90258789]
 [1005.1473999 ]
 [1011.55999756]
 [1051.86755371]]","[[ 970.]
 [ 977.]
 [1021.]
 [ 654.]]",16.85376677432701,199.9398217580072
256,Hanburg(10kTEU),"[[806.88275146]
 [853.57147217]
 [886.87780762]
 [908.30737305]
 [924.53009033]
 [807.05487061]
 [845.48181152]
 [893.41851807]
 [886.92077637]
 [905.81152344]
 [924.22894287]
 [885.07049561]]","[[808.8]
 [886.2]
 [936. ]
 [973.7]
 [700.7]
 [790. ]
 [901.4]
 [886.3]
 [930.2]
 [973. ]
 [882. ]
 [891. ]]",6.166957224532965,76.12030083227685,"[[888.94335938]
 [886.79156494]
 [881.1975708 ]
 [905.72540283]]","[[886.]
 [873.]
 [930.]
 [870.]]",2.8164846441865174,31.051779865247223
256,Antwerp(10kTEU),"[[636.91186523]
 [678.66705322]
 [732.18145752]
 [865.31970215]
 [896.112854  ]
 [761.08123779]
 [876.58050537]
 [896.112854  ]
 [893.02368164]
 [887.54260254]
 [927.40429688]
 [994.37213135]]","[[ 648.2]
 [ 701.9]
 [ 835.5]
 [ 866.4]
 [ 730.9]
 [ 846.8]
 [ 866.4]
 [ 863.3]
 [ 857.8]
 [ 897.8]
 [ 965. ]
 [1004. ]]",5.445707467130143,64.5616334503564,"[[1033.23730469]
 [1074.09570312]
 [1138.87109375]
 [1138.87109375]]","[[1045.]
 [1110.]
 [1110.]
 [1204.]]",3.0926537872144415,40.31995169499036
256,Xiamen(10kTEU),"[[341.39685059]
 [388.70489502]
 [456.84851074]
 [518.04705811]
 [559.01373291]
 [523.3817749 ]
 [638.12890625]
 [701.54174805]
 [777.13397217]
 [858.362854  ]
 [915.13256836]
 [976.33105469]]","[[334.2]
 [401.9]
 [462.7]
 [503.4]
 [468. ]
 [582. ]
 [645. ]
 [720.1]
 [800.8]
 [857.2]
 [918. ]
 [961. ]]",3.98093667423908,33.404833399056365,"[[1019.61279297]
 [1097.11730957]
 [1058.8684082 ]
 [1171.60229492]]","[[1038.]
 [1000.]
 [1112.]
 [1141.]]",4.735804545575951,58.157819125937685
256,Tanjung(10kTEU),"[[443.96386719]
 [459.06503296]
 [516.10302734]
 [586.31854248]
 [595.93707275]
 [635.95031738]
 [685.38970947]
 [780.61352539]
 [797.92681885]
 [791.00146484]
 [879.68457031]
 [932.58673096]]","[[417.7]
 [477. ]
 [550. ]
 [560. ]
 [601.6]
 [653. ]
 [752. ]
 [770. ]
 [762.8]
 [855. ]
 [910. ]
 [828. ]]",5.229311472846459,45.56367140018985,"[[853.71447754]
 [863.33306885]
 [919.12072754]
 [932.58673096]]","[[838.]
 [896.]
 [910.]
 [985.]]",2.961130162956777,32.18855245988124
256,Los Angeles(10kTEU),"[[742.95336914]
 [759.29901123]
 [857.472229  ]
 [721.22564697]
 [795.67785645]
 [736.9732666 ]
 [793.78411865]
 [804.64801025]
 [818.40222168]
 [797.57159424]
 [844.51538086]
 [826.57501221]]","[[748.5]
 [847. ]
 [710.3]
 [785. ]
 [726.1]
 [783.1]
 [794. ]
 [807.8]
 [786.9]
 [834. ]
 [816. ]
 [886. ]]",6.200178520125437,62.64428130429199,"[[896.34277344]
 [953.15374756]
 [956.14385986]
 [940.19683838]]","[[943.]
 [946.]
 [930.]
 [920.]]",2.6776076040364383,28.807492878117188
256,Long Beach(10kTEU),"[[612.03442383]
 [671.51617432]
 [708.61230469]
 [710.01947021]
 [657.31732178]
 [566.43170166]
 [642.92663574]
 [632.50128174]
 [628.98358154]
 [672.79534912]
 [678.61566162]
 [702.2164917 ]]","[[671. ]
 [729. ]
 [731.2]
 [648.8]
 [506.7]
 [626.3]
 [610. ]
 [604.5]
 [673. ]
 [682.1]
 [719. ]
 [680. ]]",7.941699847231844,60.08734732223823,"[[677.27246094]
 [724.62634277]
 [761.2052002 ]
 [730.44622803]]","[[754.]
 [809.]
 [763.]
 [811.]]",7.693329944719957,69.81790739082369
512,Ningbo(10kTEU),"[[ 561.00079346]
 [ 679.2520752 ]
 [ 862.08435059]
 [1086.39831543]
 [1233.45031738]
 [1191.57580566]
 [1445.57543945]
 [1593.80700684]
 [1707.7331543 ]
 [1816.15478516]
 [2005.47485352]
 [2195.18774414]]","[[ 520.8]
 [ 706.8]
 [ 935. ]
 [1084.6]
 [1042. ]
 [1300.4]
 [1451.2]
 [1567.1]
 [1677.4]
 [1870. ]
 [2063. ]
 [2160. ]]",4.793316834428878,73.7690507850498,"[[2290.53540039]
 [2586.40942383]
 [2757.44628906]
 [2869.53735352]]","[[2461.]
 [2635.]
 [2749.]
 [2872.]]",2.2909201132773873,88.73644718960416
512,Shanghai(10kTEU),"[[1746.32470703]
 [2068.46679688]
 [2399.36987305]
 [2804.55688477]
 [2971.56005859]
 [2699.79223633]
 [3070.94042969]
 [3314.59985352]
 [3386.6940918 ]
 [3485.98364258]
 [3638.20288086]
 [3752.73217773]]","[[1808.4]
 [2171. ]
 [2615. ]
 [2798. ]
 [2500.2]
 [2906.9]
 [3173.9]
 [3252.9]
 [3361.7]
 [3528.5]
 [3654. ]
 [3713. ]]",4.267070252451005,169.47166920933194,"[[3806.71020508]
 [4092.39355469]
 [4257.37158203]
 [4378.06542969]]","[[4023.]
 [4201.]
 [4330.]
 [4350.]]",2.5710240349889677,127.12119295277957
512,Singapore(10kTEU),"[[2195.55371094]
 [2382.41625977]
 [2542.8996582 ]
 [2858.24926758]
 [3057.04785156]
 [2650.72436523]
 [2907.89868164]
 [3059.05395508]
 [3230.6706543 ]
 [3323.95166016]
 [3453.34106445]
 [3157.55029297]]","[[2319.2]
 [2479.2]
 [2793.6]
 [2991.8]
 [2586.7]
 [2843.1]
 [2993.8]
 [3164.9]
 [3257.9]
 [3386.9]
 [3092. ]
 [3090. ]]",5.866952531041398,208.56537792328183,"[[3155.54443359]
 [3433.38134766]
 [3727.26586914]
 [3787.44775391]]","[[3367.]
 [3660.]
 [3720.]
 [3660.]]",4.037375297844635,167.60458897685513
512,Shenzhen(10kTEU),"[[1545.65136719]
 [1763.05297852]
 [1957.36352539]
 [2182.29150391]
 [2209.23120117]
 [1938.63391113]
 [2302.87988281]
 [2308.09692383]
 [2339.74072266]
 [2368.6484375 ]
 [2433.56030273]
 [2447.50097656]]","[[1619.7]
 [1846.9]
 [2109.9]
 [2141.4]
 [1825. ]
 [2250.9]
 [2257. ]
 [2294. ]
 [2327.8]
 [2403.7]
 [2420. ]
 [2397. ]]",5.038594898386781,155.18962880540934,"[[2427.83056641]
 [2533.93530273]
 [2753.15209961]
 [2582.01538086]]","[[2521.]
 [2774.]
 [2577.]
 [2655.]]",5.483582701789058,160.2091750316673
512,Hong Kong(10kTEU),"[[2177.85205078]
 [2221.52368164]
 [2331.14697266]
 [2376.39648438]
 [2425.29272461]
 [2084.79052734]
 [2346.92016602]
 [2414.44873047]
 [2289.54541016]
 [2215.60864258]
 [2201.70898438]
 [1989.16589355]]","[[2242.7]
 [2353.9]
 [2399.8]
 [2449.4]
 [2104. ]
 [2369.9]
 [2438.4]
 [2311.7]
 [2236.7]
 [2222.6]
 [2007. ]
 [1981. ]]",5.220395277471151,151.6667323521087,"[[1963.5345459 ]
 [2057.18774414]
 [1942.83251953]
 [1814.67541504]]","[[2076.]
 [1960.]
 [1830.]
 [2007.]]",6.531092685459057,133.99054017129438
512,Busan(10kTEU),"[[1204.60803223]
 [1241.0065918 ]
 [1260.39807129]
 [1388.98522949]
 [1407.85803223]
 [1255.21337891]
 [1484.80297852]
 [1691.16418457]
 [1780.5526123 ]
 [1846.92041016]
 [1949.78967285]
 [2029.84521484]]","[[1184.3]
 [1203. ]
 [1327. ]
 [1345.2]
 [1198. ]
 [1419.4]
 [1618.4]
 [1704.6]
 [1768.6]
 [1867.8]
 [1945. ]
 [1985. ]]",4.631244506295443,91.2181736360373,"[[2071.32446289]
 [2137.69213867]
 [2259.01977539]
 [2293.24047852]]","[[2049.]
 [2166.]
 [2199.]
 [2159.]]",2.835894066035359,75.70105046558518
512,Guangzhou(10kTEU),"[[ 544.41949463]
 [ 666.06958008]
 [ 834.27172852]
 [1156.01635742]
 [1222.7388916 ]
 [1240.15026855]
 [1367.7746582 ]
 [1529.28393555]
 [1574.90319824]
 [1628.36193848]
 [1750.29663086]
 [1808.85546875]]","[[ 468.5]
 [ 660. ]
 [1025.7]
 [1100.1]
 [1119. ]
 [1255. ]
 [1426. ]
 [1474.3]
 [1530.9]
 [1660. ]
 [1722. ]
 [1885. ]]",5.799998798002883,77.73012324593572,"[[1962.80895996]
 [2106.37280273]
 [2248.04760742]
 [2376.49926758]]","[[2037.]
 [2187.]
 [2323.]
 [2319.]]",3.258712250891555,72.33443558602286
512,Qingdao(10kTEU),"[[ 648.61560059]
 [ 760.3081665 ]
 [ 893.82250977]
 [1062.27075195]
 [1144.38916016]
 [1138.64660645]
 [1306.3293457 ]
 [1402.80407715]
 [1544.7409668 ]
 [1642.07714844]
 [1743.52880859]
 [1828.70996094]]","[[ 630.7]
 [ 770.2]
 [ 946.2]
 [1032. ]
 [1026. ]
 [1201.2]
 [1302. ]
 [1450.3]
 [1552. ]
 [1658. ]
 [1747. ]
 [1801. ]]",3.009412574025439,45.97842347289978,"[[1880.39318848]
 [1908.14868164]
 [1904.32043457]
 [2167.5390625 ]]","[[1830.]
 [1826.]
 [2101.]
 [2200.]]",4.522322919079591,110.70732051350166
512,Dubai(10kTEU),"[[ 808.10534668]
 [ 986.11883545]
 [1011.07415771]
 [1165.62011719]
 [1253.55371094]
 [1191.45043945]
 [1234.16235352]
 [1353.75561523]
 [1376.82006836]
 [1408.51245117]
 [1545.87402344]
 [1575.85766602]]","[[ 861.9]
 [ 892.3]
 [1079.1]
 [1182.7]
 [1110. ]
 [1160. ]
 [1300. ]
 [1327. ]
 [1364.1]
 [1524.9]
 [1560. ]
 [1573. ]]",4.7400494544966945,69.02771427928715,"[[1586.96264648]
 [1556.21020508]
 [1520.33203125]
 [1448.57617188]]","[[1537.]
 [1495.]
 [1411.]
 [1350.]]",5.598869062335196,83.53698278039683
512,Tianjin(10kTEU),"[[ 518.79907227]
 [ 609.05749512]
 [ 714.34362793]
 [ 918.3182373 ]
 [ 948.00732422]
 [ 966.33392334]
 [1092.78723145]
 [1230.23632812]
 [1296.21228027]
 [1361.27148438]
 [1457.57763672]
 [1462.06738281]]","[[ 480.1]
 [ 595. ]
 [ 817.6]
 [ 850. ]
 [ 870. ]
 [1008. ]
 [1158. ]
 [1230. ]
 [1301. ]
 [1406.1]
 [1411. ]
 [1449. ]]",4.799957843114927,52.8135144506077,"[[1496.88806152]
 [1550.03515625]
 [1635.61791992]
 [1755.44824219]]","[[1507.]
 [1600.]
 [1730.]
 [1835.]]",3.396164466285181,66.77423927243191
512,Rotterdam(10kTEU),"[[ 861.4977417 ]
 [ 961.56671143]
 [ 996.8092041 ]
 [1021.13140869]
 [1110.47875977]
 [1005.54534912]
 [1144.72839355]
 [1217.29821777]
 [1216.20617676]
 [1191.98303223]
 [1259.19213867]
 [1252.44140625]]","[[ 930. ]
 [ 965.5]
 [ 990. ]
 [1080. ]
 [ 974.3]
 [1114.5]
 [1187.6]
 [1186.5]
 [1162.1]
 [1229.8]
 [1223. ]
 [1238. ]]",4.643950556124723,62.781504974386266,"[[1267.33276367]
 [1401.39477539]
 [1478.8873291 ]
 [1509.68725586]]","[[1373.]
 [1451.]
 [1482.]
 [1435.]]",4.132373766836948,69.30749968382946
512,Kelang(10kTEU),"[[ 570.18652344]
 [ 601.98529053]
 [ 684.87390137]
 [ 789.38574219]
 [ 859.13104248]
 [ 789.06781006]
 [ 954.53186035]
 [1032.23461914]
 [1074.31921387]
 [1111.42163086]
 [1174.60144043]
 [1274.67163086]]","[[ 554.4]
 [ 632.6]
 [ 731.2]
 [ 797. ]
 [ 730.9]
 [ 887. ]
 [ 960.3]
 [1000. ]
 [1035. ]
 [1094.6]
 [1189. ]
 [1320. ]]",4.7806586607910155,53.68718243519116,"[[1413.53991699]
 [1469.72338867]
 [1320.25427246]
 [1453.8223877 ]]","[[1373.]
 [1232.]
 [1358.]
 [1324.]]",8.708301728248372,138.23393820417073
512,Kaohsiung(10kTEU),"[[ 976.54559326]
 [ 952.36437988]
 [ 982.61572266]
 [ 925.39691162]
 [ 972.86364746]
 [ 863.79949951]
 [ 923.50628662]
 [ 968.78369141]
 [ 983.21276855]
 [ 998.83587646]
 [1064.01586914]
 [1030.87866211]]","[[ 947.1]
 [ 977.5]
 [ 920. ]
 [ 967.7]
 [ 858.1]
 [ 918.1]
 [ 963.6]
 [ 978.1]
 [ 993.8]
 [1059.3]
 [1026. ]
 [1046. ]]",4.432006063260105,50.38561454107294,"[[1050.78076172]
 [1031.8737793 ]
 [1049.7857666 ]
 [1046.80041504]]","[[1027.]
 [1045.]
 [1042.]
 [ 962.]]",3.283465070111818,44.69214374541228
512,Dalian(10kTEU),"[[ 291.57214355]
 [ 343.52700806]
 [ 408.15380859]
 [ 539.55578613]
 [ 526.84814453]
 [ 531.32788086]
 [ 594.40893555]
 [ 700.2755127 ]
 [ 852.03582764]
 [1021.34924316]
 [1030.40002441]
 [ 979.11242676]]","[[ 265.1]
 [ 321.2]
 [ 464.2]
 [ 450.3]
 [ 455.2]
 [ 524.2]
 [ 640. ]
 [ 806. ]
 [ 991.2]
 [1001.1]
 [ 945. ]
 [ 961. ]]",9.429741337021573,69.60929006955656,"[[ 993.7399292 ]
 [1001.96777344]
 [1008.36737061]
 [1048.59313965]]","[[ 970.]
 [ 977.]
 [1021.]
 [ 654.]]",16.643898251198177,198.14786343274125
512,Hanburg(10kTEU),"[[783.98529053]
 [847.44732666]
 [892.71905518]
 [921.84716797]
 [943.89801025]
 [784.21917725]
 [836.45117188]
 [901.609375  ]
 [892.77740479]
 [918.45465088]
 [943.48858643]
 [890.26226807]]","[[808.8]
 [886.2]
 [936. ]
 [973.7]
 [700.7]
 [790. ]
 [901.4]
 [886.3]
 [930.2]
 [973. ]
 [882. ]
 [891. ]]",6.537158437643324,80.8640574591138,"[[895.52648926]
 [892.60192871]
 [884.99822998]
 [918.33770752]]","[[886.]
 [873.]
 [930.]
 [870.]]",3.4288838794079917,34.77313215653151
512,Antwerp(10kTEU),"[[652.33825684]
 [691.11114502]
 [740.80340576]
 [864.43237305]
 [893.02618408]
 [767.63909912]
 [874.88885498]
 [893.02618408]
 [890.1574707 ]
 [885.0680542 ]
 [922.08270264]
 [984.26739502]]","[[ 648.2]
 [ 701.9]
 [ 835.5]
 [ 866.4]
 [ 730.9]
 [ 846.8]
 [ 866.4]
 [ 863.3]
 [ 857.8]
 [ 897.8]
 [ 965. ]
 [1004. ]]",5.107738942366047,61.94908797819801,"[[1020.35662842]
 [1058.29663086]
 [1118.44543457]
 [1118.44543457]]","[[1045.]
 [1110.]
 [1110.]
 [1204.]]",3.72072235937186,51.65133873958619
512,Xiamen(10kTEU),"[[341.49630737]
 [388.79135132]
 [456.91644287]
 [518.09820557]
 [559.05377197]
 [523.43145752]
 [638.14727783]
 [701.54284668]
 [777.11431885]
 [858.32110596]
 [915.07513428]
 [976.25701904]]","[[334.2]
 [401.9]
 [462.7]
 [503.4]
 [468. ]
 [582. ]
 [645. ]
 [720.1]
 [800.8]
 [857.2]
 [918. ]
 [961. ]]",3.9806767395734672,33.40477846365033,"[[1019.5269165 ]
 [1097.09985352]
 [1058.78759766]
 [1171.77893066]]","[[1038.]
 [1000.]
 [1112.]
 [1141.]]",4.743123439642342,58.199095144653626
512,Tanjung(10kTEU),"[[456.27542114]
 [471.7013855 ]
 [529.96624756]
 [601.69189453]
 [611.51739502]
 [652.39129639]
 [702.89404297]
 [782.56481934]
 [795.35858154]
 [790.2411499 ]
 [855.77362061]
 [894.86578369]]","[[417.7]
 [477. ]
 [550. ]
 [560. ]
 [601.6]
 [653. ]
 [752. ]
 [770. ]
 [762.8]
 [855. ]
 [910. ]
 [828. ]]",4.76783462534898,39.779603056910545,"[[836.58300781]
 [843.69061279]
 [884.91497803]
 [894.86578369]]","[[838.]
 [896.]
 [910.]
 [985.]]",4.4786177692939875,53.599708799972916
512,Los Angeles(10kTEU),"[[744.1328125 ]
 [760.10174561]
 [856.01300049]
 [722.90570068]
 [795.64239502]
 [738.29052734]
 [793.79241943]
 [804.40594482]
 [817.84320068]
 [797.49249268]
 [843.35455322]
 [825.82763672]]","[[748.5]
 [847. ]
 [710.3]
 [785. ]
 [726.1]
 [783.1]
 [794. ]
 [807.8]
 [786.9]
 [834. ]
 [816. ]
 [886. ]]",6.1222251006999855,62.03038257701932,"[[893.99176025]
 [949.52130127]
 [952.44390869]
 [936.85668945]]","[[943.]
 [946.]
 [930.]
 [920.]]",2.453714780915053,28.29348044297786
512,Long Beach(10kTEU),"[[628.19451904]
 [666.27911377]
 [690.03070068]
 [690.9317627 ]
 [657.18786621]
 [598.99633789]
 [647.97393799]
 [641.2989502 ]
 [639.04656982]
 [667.0980835 ]
 [670.824646  ]
 [685.93560791]]","[[671. ]
 [729. ]
 [731.2]
 [648.8]
 [506.7]
 [626.3]
 [610. ]
 [604.5]
 [673. ]
 [682.1]
 [719. ]
 [680. ]]",7.358061748913138,57.124480333735235,"[[669.96472168]
 [700.29174805]
 [726.67419434]
 [704.15380859]]","[[754.]
 [809.]
 [763.]
 [811.]]",10.629541148131379,88.90315632788402
